2025-04-15 21:10:48,568 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 21:10:48,569 - INFO - 当前评分模式: ['robust_zscore']
2025-04-15 21:10:48,569 - INFO - 
==================================================
2025-04-15 21:10:48,569 - INFO - 开始执行网格搜索...
2025-04-15 21:10:48,570 - INFO - [omi-1] Starting grid search...
2025-04-15 21:11:52,194 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=2.5, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
2025-04-15 21:11:54,102 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=3.0, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
2025-04-15 21:11:54,237 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=3.5, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
2025-04-15 21:11:54,238 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=4.0, use_topk=True, P=0.5091, R=0.9180, F1=0.6550
2025-04-15 21:11:54,239 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=4.5, use_topk=True, P=0.5091, R=0.9180, F1=0.6550
2025-04-15 21:11:56,078 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=5.0, use_topk=True, P=0.5091, R=0.9180, F1=0.6550
2025-04-15 21:11:56,146 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=5.5, use_topk=True, P=0.5091, R=0.9180, F1=0.6550
2025-04-15 21:11:56,206 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=6.0, use_topk=True, P=0.5091, R=0.9180, F1=0.6550
2025-04-15 21:11:56,234 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=6.5, use_topk=True, P=0.5091, R=0.9180, F1=0.6550
2025-04-15 21:11:58,080 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=7.0, use_topk=True, P=0.5046, R=0.9016, F1=0.6471
2025-04-15 21:11:58,149 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=1.0, use_topk=True, P=0.5000, R=0.9508, F1=0.6554
2025-04-15 21:11:58,192 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=1.5, use_topk=True, P=0.5000, R=0.9508, F1=0.6554
2025-04-15 21:11:58,238 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=2.0, use_topk=True, P=0.5000, R=0.9508, F1=0.6554
2025-04-15 21:12:00,084 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=2.5, use_topk=True, P=0.5000, R=0.9508, F1=0.6554
